City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,bengkulu,-3.8004,102.2655,73.58,91,76,5.3,ID,1677455975
124,solnechnyy,50.7214,136.6319,15.55,88,100,1.72,RU,1677455975
125,dzhebariki-khaya,62.2167,135.8,-3.15,96,100,7.83,RU,1677455976
126,bambous virieux,-20.3428,57.7575,75.22,94,20,3.44,MU,1677455976
127,east london,-33.0153,27.9116,67.37,85,59,10.47,ZA,1677455976
128,richards bay,-28.783,32.0377,70.9,89,100,1.74,ZA,1677455977
129,kavieng,-2.5744,150.7967,82.89,74,97,6.87,PG,1677455977
130,vardo,70.3705,31.1107,33.78,80,100,18.41,NO,1677455977
131,pecos,31.4229,-103.4932,87.89,5,6,41.43,US,1677455703
132,roma,43.2128,-75.4557,34.83,85,100,12.66,US,1677455801
133,charyshskoye,51.3978,83.5598,11.93,83,97,5.82,RU,1677455978
134,creel,27.75,-107.6333,53.2,30,1,19.86,MX,1677455978
135,mocuba,-16.8392,36.9856,75.45,84,98,4.38,MZ,1677455978
136,airai,-8.9266,125.4092,61.48,94,100,4.59,TL,1677455978
137,carnarvon,-24.8667,113.6333,79.84,66,87,14.83,AU,1677455979
138,altay,47.8667,88.1167,4.14,64,9,6.4,CN,1677455898
139,bredasdorp,-34.5322,20.0403,63.99,84,3,5.57,ZA,1677455979
140,antofagasta,-23.65,-70.4,69.08,82,11,7.83,CL,1677455865
141,saldanha,-33.0117,17.9442,63.54,86,0,15.21,ZA,1677455980
142,punta arenas,-53.15,-70.9167,55.51,76,75,5.75,CL,1677455980
143,babstovo,48.1167,132.4833,17.17,88,64,5.66,RU,1677455981
144,vuktyl,63.8567,57.3094,12.09,82,77,10.87,RU,1677455981
145,mana,5.6592,-53.7767,75.34,92,91,9.28,GF,1677455982
146,santa fe,-31.6333,-60.7,86.0,39,8,4.0,AR,1677455982
147,luganville,-15.5333,167.1667,85.95,74,99,11.36,VU,1677455983
148,esmeraldas,-19.7625,-44.3139,79.84,80,100,4.63,BR,1677455983
149,souillac,-20.5167,57.5167,71.98,94,20,3.44,MU,1677455983
150,avera,33.194,-82.5271,72.91,70,100,6.76,US,1677455984
151,kaoma,-14.7833,24.8,65.32,94,99,5.01,ZM,1677455984
152,novikovo,51.1537,37.8879,31.33,96,100,4.32,RU,1677455984
153,hermanus,-34.4187,19.2345,62.8,84,1,10.2,ZA,1677455985
154,matagami,49.7502,-77.6328,10.51,79,75,10.36,CA,1677455985
155,butaritari,3.0707,172.7902,81.63,77,90,10.09,KI,1677455985
156,vanimo,-2.6741,141.3028,80.01,86,95,2.64,PG,1677455986
157,boyolangu,-8.1181,111.8935,74.26,93,98,6.76,ID,1677455986
158,mustasaari,63.1142,21.6822,28.35,94,100,5.99,FI,1677455986
159,castro,-24.7911,-50.0119,64.09,92,88,3.0,BR,1677455987
160,mossendjo,-2.9506,12.7261,69.01,94,94,2.19,CG,1677455987
161,urumqi,43.801,87.6005,16.75,86,0,0.0,CN,1677455987
162,havoysund,70.9963,24.6622,39.43,93,100,27.54,NO,1677455988
163,coquimbo,-29.9533,-71.3436,64.13,88,0,8.05,CL,1677455988
164,georgetown,5.4112,100.3354,76.93,83,20,0.0,MY,1677455852
165,camargo,27.6667,-105.1667,79.36,19,100,29.73,MX,1677455988
166,sault sainte marie,46.5168,-84.3333,21.02,87,100,11.5,CA,1677455989
167,chokurdakh,70.6333,147.9167,-10.86,98,100,5.01,RU,1677455989
168,trincomalee,8.5711,81.2335,79.57,70,100,13.49,LK,1677455989
169,volksrust,-27.3654,29.8818,55.2,96,91,3.27,ZA,1677455990
170,elat,29.5581,34.9482,58.84,51,0,6.91,IL,1677455990
171,laupheim,48.2333,9.8833,29.59,79,59,20.71,DE,1677455990
172,meulaboh,4.1363,96.1285,74.46,89,90,4.79,ID,1677455990
173,urcos,-13.6861,-71.6228,64.29,90,100,1.59,PE,1677455991
174,tiksi,71.6872,128.8694,-26.7,96,100,11.63,RU,1677455991
175,slave lake,55.2834,-114.769,17.58,86,100,9.22,CA,1677455991
176,dudinka,69.4058,86.1778,-17.91,100,95,5.35,RU,1677455992
177,hami,42.8,93.45,32.7,39,74,11.5,CN,1677455992
178,nanchang,28.6833,115.8833,44.4,58,0,3.42,CN,1677455755
179,erechim,-27.6342,-52.2739,63.52,91,94,2.91,BR,1677455992
180,polonnaruwa,7.9333,81.0,69.1,86,100,2.19,LK,1677455993
181,ixtapa,20.7,-105.2,75.22,81,3,5.99,MX,1677455993
182,mareeba,-17.0,145.4333,78.44,88,100,1.41,AU,1677455993
183,dikson,73.5069,80.5464,-16.35,96,99,19.35,RU,1677455993
184,san patricio,28.017,-97.5169,78.66,69,44,19.57,US,1677455994
185,torbay,47.6666,-52.7314,8.76,66,40,13.8,CA,1677455994
186,sao joao da barra,-21.6403,-41.0511,78.89,86,59,17.72,BR,1677455994
187,paamiut,61.994,-49.6678,11.26,88,100,22.75,GL,1677455995
188,amapa,1.0,-52.0,72.23,99,100,3.42,BR,1677455995
189,irati,-25.4672,-50.6511,64.49,98,100,1.39,BR,1677455995
190,cowra,-33.8333,148.6833,83.1,24,58,8.72,AU,1677455996
191,nola,40.922,14.5329,55.4,78,49,4.81,IT,1677455996
192,riyadh,24.6877,46.7219,68.14,34,40,9.48,SA,1677455996
193,camacupa,-12.0167,17.4833,61.75,96,96,4.14,AO,1677455997
194,matamoros,25.5333,-103.25,90.1,14,8,9.17,MX,1677455997
